code_commune,nom_commune,total_travailleurs_entrants
77520,Villiers-sous-Grez,153
77410,Saint-Germain-Laxis,153
77078,Chamigny,153
77515,Villeroy,152
77077,Chambry,151
91634,Vaugrigneuse,151
95535,Sagy,150
77154,Dammartin-sur-Tigeaux,150
91630,Le Val-Saint-Germain,149
78125,La Celle-les-Bordes,147
78049,Bazemont,146
77082,Champeaux,146
77529,Voulangis,146
77086,La Chapelle-Gauthier,144
77457,Solers,143
78569,Sainte-Mesme,143
91408,Moigny-sur-École,142
78033,Aulnay-sur-Mauldre,142
77302,Moncourt-Fromonville,141
77265,Luzancy,141
95395,Le Mesnil-Aubry,140
77075,Chalifert,138
91069,Boigneville,138
77027,Beaumont-du-Gâtinais,137
91293,Guigneville-sur-Essonne,136
77295,Moisenay,135
78317,Jambville,134
91546,Saint-Cyr-sous-Dourdan,134
77049,Boutigny,134
91198,D'Huison-Longueville,134
91294,Guillerval,133
78451,Nézel,133
78443,Neauphle-le-Vieux,130
77521,Villiers-sur-Morin,129
78050,Bazoches-sur-Guyonne,129
77030,Bellot,129
78193,Dampierre-en-Yvelines,129
78647,Vert,128
77311,Montigny-Lencoup,128
91639,Vayres-sur-Essonne,128
78561,Saint-Lambert,128
78499,Ponthévrard,128
77010,Aubepierre-Ozouer-le-Repos,127
77135,Courpalay,126
77161,Dormelles,126
78104,Breuil-Bois-Robert,124
95150,Chaussy,123
78108,Les Bréviaires,122
77177,Favières,122
77292,Messy,122
77436,Saint-Siméon,121
77113,Chevru,120
78609,Tessancourt-sur-Aubette,119
77480,Valence-en-Brie,119
91662,Villeconin,119
78460,Oinville-sur-Montcient,118
78597,Soindres,118
78516,Raizeux,118
78567,Saint-Martin-la-Garenne,118
91130,Chalo-Saint-Mars,117
77248,Lesches,117
77196,Fresnes-sur-Marne,116
77076,Chalmaison,115
78289,Grosrouvre,115
77188,Fontaine-le-Port,115
77516,Ville-Saint-Jacques,115
77125,Condé-Sainte-Libiaire,115
77199,Fublaines,115
95101,Bray-et-Lû,115
78681,Villiers-le-Mahieu,115
77013,Aulnoy,114
77209,Gouvernes,113
78349,Longvilliers,113
91319,Janvry,113
78246,Fontenay-Saint-Père,113
77185,Fleury-en-Bière,112
77227,Hermé,112
77439,Salins,112
95678,Villiers-Adam,111
77278,Marolles-en-Brie,111
95651,Vétheuil,110
91332,Leudeville,110
77358,Penchard,110
77084,Changis-sur-Marne,110
77504,Villemaréchal,109
77221,Guermantes,109
95445,Nerville-la-Forêt,108
77138,Courtomer,108
77406,Saint-Denis-lès-Rebais,108
77060,Buthiers,107
91482,Pecqueuse,107
77020,Bannost-Villegagnon,105
78192,Dammartin-en-Serve,104
91469,Ormoy-la-Rivière,104
77485,Le Vaudoué,104
77202,La Genevraye,104
77231,Isles-les-Meldeuses,103
77486,Vaudoy-en-Brie,103
77072,Chalautre-la-Grande,103
77044,Bombon,102
77272,Maison-Rouge,102
77025,Bazoches-lès-Bray,101
77434,Saint-Sauveur-lès-Bray,100
91581,Saint-Yon,100
95660,Villaines-sous-Bois,100
78655,Vieille-Église-en-Yvelines,100
78337,Limetz-Villez,100
77047,Bouleurs,100
77101,Châtenay-sur-Seine,99
77293,Misy-sur-Yonne,99
78470,Orphin,99
77091,Les Chapelles-Bourbon,98
77191,Fontenailles,98
77474,Trilbardou,98
78034,Auteuil,98
95633,Vaudherland,98
77194,Forges,98
78415,Montainville,96
78557,Saint-Hilarion,96
78536,Sailly,95
77370,Poligny,95
77147,La Croix-en-Brie,94
78320,Notre-Dame-de-la-Mer,93
95094,Bouqueval,93
78261,Gaillon-sur-Montcient,93
91602,Souzy-la-Briche,93
78057,Bennecourt,93
77063,La Celle-sur-Morin,92
78506,Prunay-en-Yvelines,92
78605,Tacoignières,92
77435,Saint-Sauveur-sur-École,91
78590,Senlisse,91
77187,Fontaine-Fourches,91
77398,Sablonnières,91
77290,Méry-sur-Marne,90
77469,Touquin,90
91106,Breux-Jouy,90
77071,Chaintreaux,90
78162,Choisel,89
78307,Hermeray,89
77383,Rampillon,88
91654,Videlles,88
91284,Les Granges-le-Roi,88
77214,Gressy,88
95040,Avernes,87
95055,Bellefontaine,86
78406,Milon-la-Chapelle,86
91093,Boullay-les-Troux,86
78474,Orvilliers,85
78528,Rolleboise,85
91671,Villeneuve-sur-Auvers,85
78071,Boinville-le-Gaillard,85
77172,Esmans,84
78410,Moisson,83
78497,Poigny-la-Forêt,83
91180,Courances,82
91100,Bouville,82
77401,Sainte-Aulde,82
77321,Mousseaux-lès-Bray,82
91186,Courson-Monteloup,81
95610,Théméricourt,81
91507,Prunay-sur-Essonne,81
77418,Saint-Loup-de-Naud,81
77451,Signy-Signets,80
78096,Bourdonné,80
95169,Commeny,79
78068,Blaru,79
78202,Drocourt,79
95541,Saint-Clair-sur-Epte,78
77388,Reuil-en-Brie,78
91412,Mondeville,78
95287,Grisy-les-Plâtres,77
91195,Dannemois,77
77120,Cocherel,77
91441,Nainville-les-Roches,77
78588,Saulx-Marchais,76
78364,Marcq,76
77361,Pierre-Levée,76
77444,Sancy-lès-Provins,76
95270,Genainville,76
78209,Émancé,76
91435,Morsang-sur-Seine,75
91544,Saint-Cyr-la-Rivière,74
95676,Villers-en-Arthies,74
78230,La Falaise,73
78285,Gressey,73
77162,Doue,73
77117,Citry,72
77425,Saint-Martin-en-Bière,72
77426,Saint-Méry,71
91079,Boissy-la-Rivière,71
77038,Boissettes,71
77507,Villenauxe-la-Petite,71
78677,Villette,71
77150,Cuisy,71
78653,Vicq,71
91273,Gironville-sur-Essonne,71
95154,Chennevières-lès-Louvres,70
95594,Seugy,70
78113,Brueil-en-Vexin,70
77527,Voinsles,69
78171,Condé-sur-Vesgre,68
95529,Ronquerolles,68
95627,Vallangoujard,68
